Indicator,Xcolumns,FirstColumnHeader,SubHeader,Colors,Year,Values,ChartType,Category,Source,xSecondary,ValueType,YaxisTitle,SortOrder,YOYPercentageChange,ContainMonthlyPercentage,QOM,ISPivot
Major Adverse Events Impacting HH,Economic Shock,,,2022,2023,65,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,193,20.37,0,0,0
Major Adverse Events Impacting HH,Flood,,,2021,2023,6,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,194,0,0,0,0
Major Adverse Events Impacting HH,Flood,,,2022,2023,20,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,195,233.33,0,0,0
Major Adverse Events Impacting HH,Flood,,,2023,2023,16,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,196,-20,0,0,0
Major Adverse Events Impacting HH,Covid 19,,,2021,2023,65,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,197,0,0,0,0
Major Adverse Events Impacting HH,Covid 19,,,2022,2023,9,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,198,-86.16,0,0,0
Major Adverse Events Impacting HH,Conflict/Voilence,,,2021,2023,60,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,199,0,0,0,0
Major Adverse Events Impacting HH,Conflict/Voilence,,,2022,2023,5,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,200,-91.67,0,0,0
Major Adverse Events Impacting HH,Conflict/Voilence,,,2023,2023,2,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,201,-60,0,0,0
Major Adverse Events Impacting HH,Other ,,,2021,2023,4,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,202,0,0,0,0
Major Adverse Events Impacting HH,Other ,,,2022,2023,5,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,203,25,0,0,0
Major Adverse Events Impacting HH,Other ,,,2023,2023,7,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,204,40,0,0,0
Major Adverse Events Impacting HH, None,,,2021,2023,7,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,205,0,0,0,0
Major Adverse Events Impacting HH, None,,,2022,2023,12,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,206,71.42,0,0,0
Major Adverse Events Impacting HH, None,,,2023,2023,8,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,207,-33.34,0,0,0
HH Cashflow ( in AFN),Income,,,2021,2023,7796,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,208,0,0,0,0
HH Cashflow ( in AFN),Income,,,2022,2023,6489,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,209,-16.77,0,0,0
HH Cashflow ( in AFN),Income,,,2023,2023,10671,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,210,64.44,0,0,0
HH Cashflow ( in AFN),Expenditure,,,2021,2023,10017,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,211,0,0,0,0
HH Cashflow ( in AFN),Expenditure,,,2022,2023,10706,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,212,6.87,0,0,0
HH Cashflow ( in AFN),Expenditure,,,2023,2023,12874,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,213,20.25,0,0,0
HH Cashflow ( in AFN),Net Income,,,2021,2023,-2221,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,214,0,0,0,0
HH Cashflow ( in AFN),Net Income,,,2022,2023,-4217,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,215,-89.87,0,0,0
HH Cashflow ( in AFN),Net Income,,,2023,2023,-2202,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,216,47.78,0,0,0
HH Cashflow ( in AFN),Debt Amount,,,2021,2023,48739,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,217,0,0,0,0
HH Cashflow ( in AFN),Debt Amount,,,2022,2023,59196,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,218,21.45,0,0,0
HH Cashflow ( in AFN),Debt Amount,,,2023,2023,48527,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,N,,219,-18.03,0,0,0
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (AFN Billion),,,2019,2019,1506,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,220,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (AFN Billion),,,2020,2020,1535,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,221,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (AFN Billion),,,2021,2021,1251,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,222,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (AFN Billion),,,2022,2022,1314,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,223,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (AFN Billion),,Est,2023,2023,1344,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,224,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (AFN Billion),,Proj,2024,2024,1456,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,225,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (US$ Billion),,,2019,2019,19.3,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,226,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (US$ Billion),,,2020,2020,20.2,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,227,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (US$ Billion),,,2021,2021,1430,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,228,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (US$ Billion),,,2022,2022,14.8,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,229,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (US$ Billion),,Est,2023,2023,14.9,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,230,0,0,0,1
Macroeconomics Indicators and Projection 2019-24,GDP Nomical (US$ Billion),,Proj,2024,2024,15,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,231,0,0,0,1
Countries with Lowest per capita income in the workd,Yemen,Country,Income,IMF,2022,874,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,232,0,0,0,2
Countries with Lowest per capita income in the workd,Yemen,Country,Year,IMF,2022,2022,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,233,0,0,0,2
Countries with Lowest per capita income in the workd,Yemen,Country,Income,World Bank,2022,702,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,234,0,0,0,2
Countries with Lowest per capita income in the workd,Yemen,Country,Year,World Bank,2022,2018,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,235,0,0,0,2
Countries with Lowest per capita income in the workd,Yemen,Country,Income,UN,2021,302,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,,,236,0,0,0,2
Countries with Lowest per capita income in the workd,Yemen,Country,Year,UN,2021,2021,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,,,237,0,0,0,2
Countries with Lowest per capita income in the workd,Burundi,Country,Income,IMF,2022,293,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,238,0,0,0,2
Countries with Lowest per capita income in the workd,Burundi,Country,Year,IMF,2022,2022,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,239,0,0,0,2
Countries with Lowest per capita income in the workd,Burundi,Country,Income,World Bank,2021,222,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,240,0,0,0,2
Countries with Lowest per capita income in the workd,Burundi,Country,Year,World Bank,2021,2021,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,241,0,0,0,2
Substance Insecurity By HeadCountRatio of 2022,Badakhshan,,,,2022,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,242,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Badghis,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,243,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Baghlan,,,,2022,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,244,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Balkh,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,245,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Bamyan,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,246,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Daykundi,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,247,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Farah,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,248,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Faryab,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,249,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Ghazni,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,250,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Ghor,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,251,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Hilmand,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,252,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Hirat,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,253,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Jawzjan,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,254,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Kabul,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,255,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Kandahar,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,256,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Kapisa,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,257,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Khost,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,258,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Kunar,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,259,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Kunduz,,,,2022,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,260,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Laghman,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,261,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Logar,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,262,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Maidan Wardak,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,263,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Nangarhar,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,264,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Nimroz,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,265,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Nuristan,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,266,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Paktika,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,267,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Paktya,,,,2022,51,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,268,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Panjsher,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,269,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Parwan,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,270,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Samangan,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,271,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Sar-e-Pul,,,,2022,60,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,272,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Takhar,,,,2022,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,273,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Uruzgan,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,274,0,0,0,0
Substance Insecurity By HeadCountRatio of 2022,Zabul,,,,2022,52,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,275,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Badakhshan,,,,2023,87,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,276,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Badghis,,,,2023,63,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,277,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Baghlan,,,,2023,87,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,278,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Balkh,,,,2023,86,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,279,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Bamyan,,,,2023,61,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,280,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Daykundi,,,,2023,61,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,281,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Farah,,,,2023,63,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,282,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Faryab,,,,2023,86,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,283,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Ghazni,,,,2023,67,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,284,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Ghor,,,,2023,61,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,285,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Hilmand,,,,2023,73,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,286,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Hirat,,,,2023,63,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,287,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Jawzjan,,,,2023,86,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,288,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Kabul,,,,2023,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,289,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Kandahar,,,,2023,73,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,290,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Kapisa,,,,2023,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,291,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Khost,,,,2023,67,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,292,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Kunar,,,,2023,63,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,293,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Kunduz,,,,2023,87,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,294,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Laghman,,,,2023,63,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,295,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Logar,,,,2023,67,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,296,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Maidan Wardak,,,,2023,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,297,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Nangarhar,,,,2023,63,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,298,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Nimroz,,,,2023,73,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,299,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Nuristan,,,,2023,63,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,300,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Paktika,,,,2023,67,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,301,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Paktya,,,,2023,67,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,302,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Panjsher,,,,2023,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,303,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Parwan,,,,2023,55,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,304,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Samangan,,,,2023,86,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,305,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Sar-e-Pul,,,,2023,86,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,306,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Takhar,,,,2023,87,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,307,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Uruzgan,,,,2023,73,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,308,0,0,0,0
Substance Insecurity By HeadCountRatio of 2023,Zabul,,,,2023,73,Map,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,309,0,0,0,0
Import and Export Summary as of 2022,Total Imports,,,,2022,1784,Cart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,310,0,0,0,0
Import and Export Summary as of 2022,Total Exports,,,,2022,6496,Cart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,311,0,0,0,0
Import and Export Summary as of 2022,Total Deficit,,,,2022,-4712,Cart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,312,0,0,0,0
% of household who were able to use a strategy and number of households that used a food coping strategy in the last 30 days,Borrowed Food or Money,Coping Strategy,,%Who use it,2022,77,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,313,0,0,0,3
% of household who were able to use a strategy and number of households that used a food coping strategy in the last 30 days,Borrowed Food or Money,Coping Strategy,,Number of HHS,2022,4364421,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,313,0,0,0,3
% of household who were able to use a strategy and number of households that used a food coping strategy in the last 30 days,Decreased,Coping Strategy,,%Who use it,2022,45,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,314,0,0,0,3
% of household who were able to use a strategy and number of households that used a food coping strategy in the last 30 days,Decreased,Coping Strategy,,Number of HHS,2022,2363904,Table,Macro Economics,"NSIA GDP Data,UNDP Estimates",,N,,315,0,0,0,3
Share of Sectors ( In Person),Agriculture,,,,2019,27.20,MultiPieChart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,P,,316,0,0,0,0
Share of Sectors ( In Person),Industry,,,,2019,16.90,MultiPieChart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,P,,317,0,0,0,0
Share of Sectors ( In Person),Services,,,,2019,55.90,MultiPieChart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,P,,318,0,0,0,0
Share of Sectors ( In Person),Agriculture,,,,2022,35.50,MultiPieChart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,P,,319,0,0,0,0
Share of Sectors ( In Person),Industry,,,,2022,17.00,MultiPieChart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,P,,320,0,0,0,0
Share of Sectors ( In Person),Services,,,,2022,47.50,MultiPieChart,Macro Economics,"NSIA GDP Data,UNDP Estimates",,P,,321,0,0,0,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
